month,sales_yoy_sa,trends_composite,measured_composite,eval_window
2014-01,,,,True
2014-02,,,,True
2014-03,,,,True
2014-04,,,,True
2014-05,,,,True
2014-06,,,,True
2014-07,,,,True
2014-08,,,,True
2014-09,,,,True
2014-10,,,,True
2014-11,,,,True
2014-12,,,,True
2015-01,2.558104812621309,,,True
2015-02,3.6170425064857348,,,True
2015-03,3.275109170305668,,,True
2015-04,1.2929782082324426,,,True
2015-05,3.996053280710399,,,True
2015-06,2.467008075635224,,,True
2015-07,3.20412168792934,,,True
2015-08,2.5944314641744626,,,True
2015-09,2.948863356181275,,,True
2015-10,0.5817053662320104,,,True
2015-11,-0.23047006289912408,,,True
2015-12,0.9458546472348228,,,True
2016-01,1.082156548745572,,,True
2016-02,2.9755886176513036,,,True
2016-03,0.5093215452623534,,,True
2016-04,-0.296409618970217,,,True
2016-05,-0.5455407969639503,,,True
2016-06,1.393627757220428,,,True
2016-07,-0.6180763562021574,0.24413130888044587,,True
2016-08,0.654742135977604,0.23440308921454314,,True
2016-09,2.2512813143650945,0.685710601140258,,True
2016-10,2.0049158995614214,1.3533285846415415,,True
2016-11,0.7122575677366516,1.1945744907920912,,True
2016-12,2.1799407209102117,1.828630958388764,,True
2017-01,3.158905424867986,1.3465835689624166,,True
2017-02,-1.33726095291532,1.025527920063713,,True
2017-03,1.5680275360933082,0.934877234510976,,True
2017-04,2.0954207624070964,0.6406259859028175,,True
2017-05,0.4388266157882237,-0.011301400607529885,,True
2017-06,0.48343523389733356,0.43161584333105923,,True
2017-07,0.8132803903745822,-0.024698970876785166,,True
2017-08,-0.13669573415036052,0.15464992616978393,,True
2017-09,-0.24827844662013154,0.9366193008517418,,True
2017-10,0.15119300732340246,1.1047736065032812,,True
2017-11,2.4848282123572485,1.449352856428415,,True
2017-12,-0.753251614110606,1.2408604611053309,,True
2018-01,-1.1308637379002229,0.876842501707963,,True
2018-02,3.175204966589251,0.6964754816901911,,True
2018-03,-0.48009036995199095,1.0485265468785583,,True
2018-04,0.7796355438662417,0.7891744768329213,,True
2018-05,5.29515125611435,0.8852182346839519,,True
2018-06,2.01405594075752,0.3830069402368239,,True
2018-07,4.1474873060314055,0.34176412972184084,,True
