event_id,brand_slug,ticker,season,year,show_date,designer,trading_day_t0,local_index_used,CAR_pre30,CAR_pre10,CAR_pre5,CAR_0to1,CAR_0to5,CAR_0to10,CAR_0to30,AR_t1,AR_t5,AR_t10,raw_cum_return_t10,benchmark_cum_return_t10
E00001,louis-vuitton,MC.PA,fall,2000,2000-02-27,,2000-02-28,^FCHI,-0.24416876534699916,-0.023089408597082514,0.024911138731155195,-0.0214225547877205,-0.1553905924035785,0.033818335974563296,0.055450765565403515,-0.0133153509825786,-0.0284435493240041,0.0269879812643755,-0.11964601965296706,0.0907044097194688
E00002,louis-vuitton,MC.PA,spring,2001,2000-10-10,,2000-10-10,^FCHI,-0.03191655690813537,0.008389688422436006,-0.015019374737123701,0.038989467983203296,-0.002243186487036107,-0.0016243481325601081,0.0035301627925790908,0.016449370127840097,-0.012000047362322101,0.008903624188377,-0.07857288664190909,-0.04503198160121362
E00003,louis-vuitton,MC.PA,fall,2001,2001-03-11,,2001-03-12,^FCHI,-0.0463212715403924,-0.0667149805119942,-0.049392127466635606,-0.0384362564378881,-0.0816528760323661,-0.047487606503302,-0.027262962301758422,-0.006592833403985601,-0.0246701465982267,0.011875448945020795,-0.2390027589554744,-0.14519388091177998
E00004,louis-vuitton,MC.PA,spring,2002,2001-10-11,,2001-10-11,^FCHI,-0.3241598946977123,-0.04455144683807938,0.01705797108763831,0.0542820027797582,0.107161936395072,0.1418535052820994,0.18829179545807065,0.0374299626761355,0.040255649920635,-0.012589924554587895,-0.2814699704772637,-0.0991635810616508
E00005,louis-vuitton,MC.PA,fall,2002,2002-03-10,,2002-03-11,^FCHI,0.20970126198333477,0.12370210332579638,0.06692911730431927,-0.0125811013584797,0.0189254094232427,0.0029771789417339977,-0.033820794405611906,-0.011698524207681,0.005908708745423,0.0037158452641022,0.23561642229163046,0.02293798136656171
E00006,louis-vuitton,MC.PA,spring,2003,2002-10-06,,2002-10-07,^FCHI,-0.030000146327290297,-0.05934303203937129,-0.0352625286919488,-0.009186999850793198,0.018592532213189093,0.09533180635933085,0.09075890980985467,-0.006455384531271799,0.0012821052511290997,0.029323885509251153,-0.04525795849026372,-0.11058961852230428
E00007,louis-vuitton,MC.PA,fall,2003,2003-03-09,,2003-03-10,^FCHI,0.1072606783388608,0.051030442631736804,0.0442999000365765,0.0254613685995963,0.021255118456266105,0.003527586205036508,-0.0425933374772277,-0.0026305422782983007,0.0023942483193599012,0.0165178632939499,0.049707501709671024,-0.06108076283422629
E00008,louis-vuitton,MC.PA,spring,2004,2003-10-11,,2003-10-13,^FCHI,0.0462520182572087,0.057310532857987394,0.029891584944443696,-0.00037159778854070104,-0.011451051264610202,0.008553647954291293,-0.02979258182038991,0.00029703593098069983,-0.0161880695774406,-0.0009494764449591991,0.053346062845919695,-0.001459603365580306
E00009,louis-vuitton,MC.PA,fall,2004,2004-03-06,,2004-03-08,^FCHI,-0.012474972583799596,-0.002541183908953598,-0.0087167935298241,-9.67285471746987e-05,-0.023971953709421102,-0.0248012155665154,-0.005904635193085302,0.00041562185070130077,-0.003326488631555602,-0.0003069281100000973,-0.07990647447036371,-0.0426302863200487
E00010,louis-vuitton,MC.PA,spring,2005,2004-10-09,,2004-10-11,^FCHI,0.033057351268576333,0.027643664932398997,0.029229174080935602,0.004975838471663001,-0.017482080335342102,-0.043654458395080475,-0.03374011336129098,0.003997575765000901,-0.0043052831138497005,-0.0002568262385563985,-0.021668664324582008,-0.011071557198077857
E00011,louis-vuitton,MC.PA,fall,2005,2005-03-05,,2005-03-07,^FCHI,0.0029183447929656964,-0.008439155554938599,0.015926738313513298,0.006710981480120199,0.008834742956593599,0.0013145042580387989,-0.013600902495917645,0.005521573509529,0.0071368294427275,-0.0026148621759312,0.04958251193868388,0.04534966288767939
E00012,louis-vuitton,MC.PA,spring,2006,2005-10-08,,2005-10-10,^FCHI,-0.01524967676670631,-0.0219438247138294,-0.0169898370009314,0.029450135198050703,0.043557881802424606,0.0336111094780951,0.06763834554173348,0.0065437401963258,0.0042567185265704995,0.0008948337147883997,0.036450459982070596,0.018089027270681807
E00013,louis-vuitton,MC.PA,fall,2006,2006-03-04,,2006-03-06,^FCHI,0.03115978592819941,0.07551710651254981,0.064497416539904,-0.0137259072312121,-0.0166381872107592,-0.0190070878470064,-0.017921104616109296,-0.0044365235255841,0.0017777828105619998,0.0023434808041322,0.08584021208632041,0.0736875140051274
E00014,louis-vuitton,MC.PA,spring,2007,2006-10-07,,2006-10-09,^FCHI,0.015314154740404696,0.0010077700535086965,0.0006603420335605974,-0.011982699118609701,-0.0046779536210255004,-0.018781468296277398,-0.005034225296103811,0.00020663961890640074,-0.0046516222676336,0.0005614854011970994,0.0536958079238428,0.057163121479715494
E00015,louis-vuitton,MC.PA,fall,2007,2007-03-03,,2007-03-05,^FCHI,0.08026164694976959,-0.00034403951780859806,-0.010684967088982499,-0.0033759683222778,-0.0076508187976026,-0.0157575371185954,-0.0469720222526217,-0.0052670388657192,-0.0008005147035202997,0.0008179421620173998,0.0363724159486116,-0.028131693882562602
E00016,louis-vuitton,MC.PA,spring,2008,2007-10-06,,2007-10-08,^FCHI,0.015366733094519499,0.012855939363358599,0.0005106059022303988,-0.0006382010008867999,0.025608631726180504,0.03905251242120351,-0.007740956066586604,-0.0042882857175543,0.031444621431776204,0.0002512607124008012,0.07078378152658252,0.016364536010859514
E00017,louis-vuitton,MC.PA,fall,2008,2008-03-01,,2008-03-03,^FCHI,0.03390002350116829,-0.0151692287660279,-0.023549177940023702,0.011708274256396499,0.0159470495019318,0.016373591604028098,0.002631743445152688,0.0069285492205225,0.0108613663512185,0.004106563975088899,-0.08884126962343211,-0.13911488472862849
E00018,louis-vuitton,MC.PA,spring,2009,2008-10-04,,2008-10-06,^FCHI,-0.08714243830152218,-0.062225597044869095,-0.029913347968931803,0.0014456075852989029,0.10686247414486551,0.1071653804646237,-0.13594707682598778,0.0125231818768096,0.015431903051532206,0.004395531095998301,-0.2237416541151968,-0.24376459627829827
E00019,louis-vuitton,MC.PA,fall,2009,2009-03-11,,2009-03-11,^FCHI,0.16470323983623372,0.020433700390389088,0.004356870745512494,0.056133818221733606,0.032812141542874707,-0.02405820515156959,0.07581215091494742,0.0146803361399701,0.0366255980144172,-0.010591590409037701,0.11975498391079856,-0.020890050773865486
E00020,louis-vuitton,MC.PA,spring,2010,2009-10-06,,2009-10-06,^FCHI,0.013313675676198204,0.003724682960859701,0.0014404249561434032,0.021408063997453198,0.0368609533829463,0.045771223156190796,0.06760751968801336,0.0193083334462935,-0.008045234601887202,-0.013617758674016,0.11739250999677614,0.058307611164387096
E00021,louis-vuitton,MC.PA,fall,2010,2010-03-09,,2010-03-09,^FCHI,0.06737231252276071,0.03181465733066549,0.0147097602546932,-0.0041624350588201995,0.0007007415489303,0.006434693724987499,0.009282956203194853,-5.855409143479956e-05,2.4645068646699658e-05,0.002143671733141,0.11795462512683681,0.0441476188790886
E00022,louis-vuitton,MC.PA,spring,2011,2010-10-05,,2010-10-05,^FCHI,0.1017033025656018,0.0514450257149968,0.047579476609770605,0.005605385244625999,0.009877496064120299,-0.013791066191344802,0.05298069575992835,0.008201459999594,-0.0006823720002826,-0.0169008271208093,0.1569413033662444,0.06902906699198741
E00023,louis-vuitton,MC.PA,fall,2011,2011-03-08,,2011-03-08,^FCHI,0.007574535151355805,0.005868949186675406,0.018170637578024305,0.016700239866009,-0.0262081107731624,-0.013105022842850204,0.04044434052819441,0.0111888643916713,0.0030897315042164968,0.0007152420966423001,-0.040987499821287306,-0.035457012129792895
E00024,louis-vuitton,MC.PA,spring,2012,2011-10-04,,2011-10-04,^FCHI,-0.050447999743681304,-0.12326205222967816,-0.0904842225600548,0.023152714367116398,0.04594521576990131,0.0801697024333149,0.10988652497321388,-0.0007019769380792046,0.0070488459289494,0.0118699030742462,0.05870736274510901,0.028985660055475412
E00025,louis-vuitton,MC.PA,fall,2012,2012-03-06,,2012-03-06,^FCHI,0.020943292942078647,0.006242923482294051,0.0174921625124422,0.006857660942830395,0.027804532863108394,0.009963752687059693,0.0504880337158769,0.0019618070274628994,-0.0009715028050251984,-0.0108054662693602,0.08694242077217618,0.05603537514303785
E00026,louis-vuitton,MC.PA,spring,2013,2012-10-02,,2012-10-02,^FCHI,-0.089557067638033,0.0013460489131890008,-0.0005274759657144992,-0.006150465114290199,-0.0018314315962513978,0.0424816977103668,0.05965431612415111,-0.013452673132901499,-0.0076576698153441,0.0120049395528046,-0.041242851810828804,0.005832518116837403
E00027,louis-vuitton,MC.PA,fall,2013,2013-03-05,,2013-03-05,^FCHI,-0.0491391640870071,-0.0187865344600242,-0.013490512795410302,0.0043532072485881,-0.0004560791274710991,-0.0123186657561796,-0.053898814498727805,0.0069102327292511,-0.0020665381712252,-0.0041789638705478,-0.0580832831063186,0.003374546736868102
E00028,louis-vuitton,MC.PA,spring,2014,2013-10-01,,2013-10-01,^FCHI,0.01871328155908053,0.006590880240788032,0.0020921726448181327,-0.0094013749128527,-0.0065740325038951,-0.0319724341564471,-0.0717866473416239,-0.013339916144676202,0.0018507425395440993,-0.0074530437405863,0.028003304919768796,0.04126245751713537
E00029,louis-vuitton,MC.PA,fall,2014,2014-03-04,,2014-03-04,^FCHI,0.03489023009750722,-0.0209049691075016,-0.0276417683806269,-0.014009333945555997,-0.014767298089826297,-0.020195772699870395,0.0811788326670185,-0.0057237812459171,0.0014115730362935998,-0.0010638575875371002,0.012471213157617404,-0.0022232442400194376
E00030,louis-vuitton,MC.PA,spring,2015,2014-10-01,,2014-10-01,^FCHI,-0.0446773822566664,-0.0542007373681627,-0.0287686973000779,0.0180997730981377,0.0393953462763567,0.0842084397080596,0.1112791761408802,0.0170360510308422,0.0145533054427452,0.0354074021262228,-0.0373248350741218,-0.07685589252551499
E00031,louis-vuitton,MC.PA,fall,2015,2015-03-11,,2015-03-11,^FCHI,0.0818302125046604,0.0317662249602894,0.020825457061529995,0.004472709842178299,-0.003847279936186502,-0.0441507468412225,-0.0832817587932548,-0.0031746462076518004,-0.012247969800983902,-0.003958000868890499,0.12000110064157017,0.0823216349781323
E00032,louis-vuitton,MC.PA,spring,2016,2015-10-07,,2015-10-07,^FCHI,0.0555435158387239,0.026235680220943795,0.0195364326759877,0.0160081835948186,0.011135430990311806,-0.014930565775534293,-0.024503761500759294,0.006515651151931701,-0.005055574287280201,-0.0061252533148081,0.0687445670513856,0.02813161698819601
E00033,louis-vuitton,MC.PA,fall,2016,2016-03-09,,2016-03-09,^FCHI,0.05531252707460949,-0.020073612081943,0.001286493912077101,0.009350147386768998,-0.011689538299630604,-0.0350215497166716,-0.05553256269842822,0.009416557831909998,-0.0029906863157545998,0.0111718965126835,0.03559056471115808,0.015299587353220208
E00034,louis-vuitton,MC.PA,spring,2017,2016-10-05,Nicolas Ghesqui,2016-10-05,^FCHI,-0.020209936084974702,0.0169729440293424,0.007342638816069396,-0.0051515391019347,0.059659992431414205,0.06257793554707032,0.03741609000866178,-0.0058361023520876005,0.0058926731332449005,0.0037712213000055004,0.0644785788132258,0.022110579351130207
E00035,louis-vuitton,MC.PA,fall,2017,2017-03-07,,2017-03-07,^FCHI,-0.013090099401028154,0.007799144340013128,-0.005541824755850003,0.0077627689209385006,0.023048178997269,0.019164130535329203,0.05970579289961579,0.0042995615704647,0.0055854459616747,-0.0045780918231122,0.042931411836336204,0.03685738070203515
E00036,louis-vuitton,MC.PA,spring,2018,2017-10-03,,2017-10-03,^FCHI,0.021838914259080307,-0.005599789658958301,-0.004917228184270402,0.0044486425009198005,0.015169637091896598,0.0235663615922549,0.059554090564777645,0.0005664090620831,0.0225536902895544,-0.0045126230532976,0.09782062682942849,0.0524153509780933
E00037,louis-vuitton,MC.PA,fall,2018,2018-03-06,,2018-03-06,^FCHI,0.06071446974125253,-0.0012474489313160772,-0.0012118628330725764,-0.0021112987436015997,-0.0031590951649771997,0.0275286815253697,0.11056749782001019,-0.0040200532018635,-0.007012453290061899,0.0166606000331921,0.034580327067157704,-0.053662824199464526
E00038,louis-vuitton,MC.PA,spring,2019,2018-10-02,,2018-10-02,^FCHI,0.001878852289680192,0.033939180615101795,-0.0016635060697209993,-0.0108107331964532,-0.036793265348873096,-0.0871015952732982,-0.052827858685740164,0.0036685382380424,0.0101205206619114,-0.0007042301317434999,-0.1243836223359829,-0.0391608793523649
E00039,louis-vuitton,MC.PA,fall,2019,2019-03-05,,2019-03-05,^FCHI,0.09751984049748486,0.020206378366649468,0.006292410443749,-0.0040014360665887,0.0050380184423708,0.013143951170612997,0.07242792896263908,-0.0051736480277496,0.0063405035126075995,0.0074714569497612,0.21920962108393163,0.10854582941583374
E00040,louis-vuitton,MC.PA,spring,2020,2019-10-01,,2019-10-01,^FCHI,-0.033821232768417905,-0.0200938015107075,-0.013242061487064298,-0.012340778030672,0.0017235085121446005,0.038284517574572796,0.05925862165691179,-0.005637415676606201,0.004036926260572901,-0.0071052841518865996,0.0641706298237417,0.0597073450175868
E00041,louis-vuitton,MC.PA,fall,2020,2020-03-03,,2020-03-03,^FCHI,-0.002595369038096403,0.0349948366092491,0.05736871228927749,-0.0004249672633018023,0.023706180492520403,0.1005154131284934,0.1110909977794806,0.007378990489962298,0.005748279058721901,0.016820086849153797,-0.32260724384936945,-0.4205272879397665
