brand_key,year,season,first_url,reason
tommy-hilfiger,2006,fall,https://www.vogue.com/fashion-shows/fall-2006-ready-to-wear/tommy-hilfiger,no alias 200/parseable
tommy-hilfiger,2007,spring,https://www.vogue.com/fashion-shows/spring-2007-ready-to-wear/tommy-hilfiger,no alias 200/parseable
tommy-hilfiger,2022,fall,https://www.vogue.com/fashion-shows/fall-2022-ready-to-wear/tommy-hilfiger,no alias 200/parseable
tommy-hilfiger,2024,spring,https://www.vogue.com/fashion-shows/spring-2024-ready-to-wear/tommy-hilfiger,no alias 200/parseable
tommy-hilfiger,2025,fall,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/tommy-hilfiger,no alias 200/parseable
hermes,2001,spring,https://www.vogue.com/fashion-shows/spring-2001-ready-to-wear/hermes,no alias 200/parseable
hermes,2002,fall,https://www.vogue.com/fashion-shows/fall-2002-ready-to-wear/hermes,no alias 200/parseable
hermes,2003,spring,https://www.vogue.com/fashion-shows/spring-2003-ready-to-wear/hermes,no alias 200/parseable
hermes,2003,fall,https://www.vogue.com/fashion-shows/fall-2003-ready-to-wear/hermes,no alias 200/parseable
hermes,2004,spring,https://www.vogue.com/fashion-shows/spring-2004-ready-to-wear/hermes,no alias 200/parseable
hermes,2005,spring,https://www.vogue.com/fashion-shows/spring-2005-ready-to-wear/hermes,no alias 200/parseable
burberry,2018,spring,https://www.vogue.com/fashion-shows/spring-2018-ready-to-wear/burberry-prorsum,no alias 200/parseable
brunello-cucinelli,2000,spring,https://www.vogue.com/fashion-shows/spring-2000-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2000,fall,https://www.vogue.com/fashion-shows/fall-2000-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2001,spring,https://www.vogue.com/fashion-shows/spring-2001-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2001,fall,https://www.vogue.com/fashion-shows/fall-2001-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2002,spring,https://www.vogue.com/fashion-shows/spring-2002-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2002,fall,https://www.vogue.com/fashion-shows/fall-2002-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2003,spring,https://www.vogue.com/fashion-shows/spring-2003-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2003,fall,https://www.vogue.com/fashion-shows/fall-2003-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2004,spring,https://www.vogue.com/fashion-shows/spring-2004-ready-to-wear/brunello-cucinelli,no alias 200/parseable
