event_id,ticker,earnings_within_10d,confounder_unknown,confounded
E00177,KER.PA,False,False,False
E00178,KER.PA,False,False,False
E00179,KER.PA,False,False,False
E00180,KER.PA,False,False,False
E00181,KER.PA,False,False,False
E00182,KER.PA,False,False,False
E00183,KER.PA,False,False,False
E00184,KER.PA,False,False,False
E00185,KER.PA,False,False,False
E00186,KER.PA,False,False,False
E00187,KER.PA,False,False,False
E00188,KER.PA,False,False,False
E00189,KER.PA,False,False,False
E00190,KER.PA,False,False,False
E00191,KER.PA,False,False,False
E00192,KER.PA,False,False,False
E00193,KER.PA,False,False,False
E00194,KER.PA,False,False,False
E00195,KER.PA,False,False,False
E00196,KER.PA,False,False,False
E00197,KER.PA,False,False,False
E00198,KER.PA,False,False,False
E00199,KER.PA,False,False,False
E00200,KER.PA,False,False,False
E00201,KER.PA,False,False,False
E00202,KER.PA,False,False,False
E00203,KER.PA,False,False,False
E00204,KER.PA,False,False,False
E00205,KER.PA,False,False,False
E00206,KER.PA,False,False,False
E00207,KER.PA,False,False,False
E00210,KER.PA,False,False,False
E00211,KER.PA,False,False,False
E00212,KER.PA,False,False,False
E00213,KER.PA,False,False,False
E00214,KER.PA,False,False,False
E00215,KER.PA,False,False,False
E00216,KER.PA,False,False,False
E00217,KER.PA,False,False,False
E00218,KER.PA,False,False,False
E00219,KER.PA,False,False,False
E00220,KER.PA,False,False,False
E00221,KER.PA,False,False,False
E00222,KER.PA,False,False,False
E00223,KER.PA,False,False,False
E00224,KER.PA,False,False,False
E00225,KER.PA,False,False,False
E00226,KER.PA,False,False,False
E00227,KER.PA,False,False,False
E00228,KER.PA,False,False,False
E00229,KER.PA,False,False,False
E00230,KER.PA,False,False,False
E00231,KER.PA,False,False,False
E00232,KER.PA,False,False,False
E00233,KER.PA,False,False,False
E00234,KER.PA,False,False,False
E00235,KER.PA,False,False,False
E00236,KER.PA,False,False,False
E00237,KER.PA,False,False,False
E00238,KER.PA,False,False,False
E00239,KER.PA,False,False,False
E00240,KER.PA,False,False,False
E00241,KER.PA,False,False,False
E00242,KER.PA,False,False,False
E00243,KER.PA,False,False,False
E00244,KER.PA,False,False,False
E00245,KER.PA,False,False,False
E00246,KER.PA,False,False,False
E00247,KER.PA,False,False,False
E00248,KER.PA,False,False,False
E00249,KER.PA,False,False,False
E00250,KER.PA,False,False,False
E00251,KER.PA,False,False,False
E00252,KER.PA,False,False,False
E00253,CPRI,False,False,False
E00254,CPRI,False,False,False
