look_id,model,tagged_at
alexander-mcqueen|FW2016|008,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|010,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|013,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|015,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|018,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|019,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|021,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|023,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|024,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|025,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|026,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|031,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|033,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|034,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|035,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|036,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|038,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|041,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|043,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|044,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|045,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|046,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|047,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|048,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|049,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|050,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|051,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|052,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|053,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|054,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|055,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|056,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|057,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|058,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|059,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2016|060,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|001,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|002,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|003,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|004,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|005,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|006,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|007,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|008,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|009,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|010,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|011,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|012,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|013,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|014,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|015,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|017,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|020,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|021,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|022,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|023,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|024,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|025,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|026,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|027,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|028,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|029,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|030,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|031,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|032,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|033,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|034,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|035,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|036,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|037,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|038,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|039,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|040,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|041,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|042,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|043,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|044,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|045,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|046,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|047,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|048,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|049,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|051,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|052,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|053,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|054,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|055,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|056,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|057,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2017|058,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|001,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|002,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|003,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|004,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|005,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|006,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|007,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|008,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|009,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|010,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|011,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|012,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|013,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|014,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|015,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|016,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|017,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|018,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|019,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|020,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|021,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|022,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|023,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|024,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|025,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|026,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|027,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|028,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|030,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|031,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|032,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|033,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|034,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|035,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|036,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|037,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|039,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|026,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|027,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|028,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|029,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|030,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|031,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|032,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|033,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|034,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|035,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|036,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|037,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|038,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|039,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|040,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|041,meta-llama/llama-4-scout-17b-16e-instruct,2026-07-03
alexander-mcqueen|FW2018|042,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|043,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|044,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|045,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|046,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|047,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|048,pixtral-12b-2409,2026-07-03
