look_id,category
alexander-mcqueen|FW2017|053,tailoring
alexander-mcqueen|FW2017|054,outerwear
alexander-mcqueen|FW2017|055,tailoring
alexander-mcqueen|FW2017|056,dress
alexander-mcqueen|FW2017|057,dress
alexander-mcqueen|FW2017|058,dress
alexander-mcqueen|FW2018|001,tailoring
alexander-mcqueen|FW2018|002,tailoring
alexander-mcqueen|FW2018|003,tailoring
alexander-mcqueen|FW2018|004,dress
alexander-mcqueen|FW2018|005,tailoring
alexander-mcqueen|FW2018|006,dress
alexander-mcqueen|FW2018|007,outerwear
alexander-mcqueen|FW2018|008,tailoring
alexander-mcqueen|FW2018|009,outerwear
alexander-mcqueen|FW2018|010,dress
alexander-mcqueen|FW2018|011,dress
alexander-mcqueen|FW2018|012,tailoring
alexander-mcqueen|FW2018|013,bag
alexander-mcqueen|FW2018|014,tailoring
alexander-mcqueen|FW2018|015,tailoring
alexander-mcqueen|FW2018|016,dress
alexander-mcqueen|FW2018|017,outerwear
alexander-mcqueen|FW2018|018,dress
alexander-mcqueen|FW2018|019,outerwear
alexander-mcqueen|FW2018|020,activewear
alexander-mcqueen|FW2018|021,tailoring
alexander-mcqueen|FW2018|022,outerwear
alexander-mcqueen|FW2018|023,tailoring
alexander-mcqueen|FW2018|024,dress
alexander-mcqueen|FW2018|025,outerwear
alexander-mcqueen|FW2018|026,tailoring
alexander-mcqueen|FW2018|027,dress
alexander-mcqueen|FW2018|028,outerwear
alexander-mcqueen|FW2018|029,outerwear
alexander-mcqueen|FW2018|030,outerwear
alexander-mcqueen|FW2018|031,outerwear
alexander-mcqueen|FW2018|032,outerwear
alexander-mcqueen|FW2018|033,dress
alexander-mcqueen|FW2018|034,knitwear
alexander-mcqueen|FW2018|035,dress
alexander-mcqueen|FW2018|036,dress
alexander-mcqueen|FW2018|037,dress
alexander-mcqueen|FW2018|038,dress
alexander-mcqueen|FW2018|039,dress
alexander-mcqueen|FW2018|040,dress
alexander-mcqueen|FW2018|041,dress
alexander-mcqueen|FW2018|042,tailoring
alexander-mcqueen|FW2018|043,tailoring
alexander-mcqueen|FW2018|044,tailoring
alexander-mcqueen|FW2018|045,dress
alexander-mcqueen|FW2018|046,tailoring
alexander-mcqueen|FW2018|047,tailoring
alexander-mcqueen|FW2018|048,dress
alexander-mcqueen|FW2018|049,outerwear
alexander-mcqueen|FW2018|050,outerwear
alexander-mcqueen|FW2018|051,tailoring
alexander-mcqueen|FW2018|052,dress
alexander-mcqueen|FW2018|053,outerwear
