look_id,reason,logged
bottega-veneta|SS2018|006,image download failed,2026-07-03
brunello-cucinelli|SS2018|006,image download failed,2026-07-03
celine|SS2018|006,image download failed,2026-07-03
chloe|SS2018|006,image download failed,2026-07-03
christian-dior|SS2018|006,image download failed,2026-07-03
fendi|SS2018|006,image download failed,2026-07-03
gucci|SS2018|006,image download failed,2026-07-03
hermes|SS2018|006,image download failed,2026-07-03
loewe|SS2018|006,image download failed,2026-07-03
louis-vuitton|SS2018|006,image download failed,2026-07-03
miu-miu|SS2018|006,image download failed,2026-07-03
moncler|SS2018|006,image download failed,2026-07-03
prada|SS2018|006,image download failed,2026-07-03
ralph-lauren|SS2018|006,image download failed,2026-07-03
saint-laurent|SS2018|006,image download failed,2026-07-03
salvatore-ferragamo|SS2018|006,image download failed,2026-07-03
tods|SS2018|006,image download failed,2026-07-03
valentino|SS2018|006,image download failed,2026-07-03
versace|SS2018|006,image download failed,2026-07-03
balenciaga|SS2019|006,image download failed,2026-07-03
brunello-cucinelli|SS2019|006,image download failed,2026-07-03
burberry|SS2019|006,image download failed,2026-07-03
celine|SS2019|006,image download failed,2026-07-03
chloe|SS2019|006,image download failed,2026-07-03
christian-dior|SS2019|006,image download failed,2026-07-03
fendi|SS2019|006,image download failed,2026-07-03
gucci|SS2019|006,image download failed,2026-07-03
hermes|SS2019|006,image download failed,2026-07-03
loewe|SS2019|006,image download failed,2026-07-03
miu-miu|SS2019|006,image download failed,2026-07-03
prada|SS2019|006,image download failed,2026-07-03
saint-laurent|SS2019|006,image download failed,2026-07-03
salvatore-ferragamo|SS2019|006,image download failed,2026-07-03
tods|SS2019|006,image download failed,2026-07-03
valentino|SS2019|006,image download failed,2026-07-03
versace|SS2019|006,image download failed,2026-07-03
balenciaga|SS2020|006,image download failed,2026-07-03
bottega-veneta|SS2020|006,image download failed,2026-07-03
brunello-cucinelli|SS2020|006,image download failed,2026-07-03
burberry|SS2020|006,image download failed,2026-07-03
celine|SS2020|006,image download failed,2026-07-03
chloe|SS2020|006,image download failed,2026-07-03
christian-dior|SS2020|006,image download failed,2026-07-03
fendi|SS2020|006,image download failed,2026-07-03
gucci|SS2020|006,image download failed,2026-07-03
hermes|SS2020|006,image download failed,2026-07-03
loewe|SS2020|006,image download failed,2026-07-03
louis-vuitton|SS2020|006,image download failed,2026-07-03
miu-miu|SS2020|006,image download failed,2026-07-03
prada|SS2020|006,image download failed,2026-07-03
saint-laurent|SS2020|006,image download failed,2026-07-03
salvatore-ferragamo|SS2020|006,image download failed,2026-07-03
tods|SS2020|006,image download failed,2026-07-03
valentino|SS2020|006,image download failed,2026-07-03
versace|SS2020|006,image download failed,2026-07-03
