event_id,ticker,earnings_within_10d,confounder_unknown,confounded
E00324,TPR,False,False,False
E00325,PVH,False,False,False
E00326,RL,False,False,False
E00327,BRBY.L,False,False,False
E00328,KER.PA,False,False,False
E00329,1913.HK,False,False,False
E00332,SFER.MI,False,False,False
E00333,MC.PA,False,False,False
E00334,MC.PA,False,False,False
E00335,KER.PA,False,False,False
E00336,RMS.PA,False,False,False
E00337,CPRI,False,False,False
E00338,TPR,False,False,False
E00339,PVH,False,False,False
E00340,RL,False,False,False
E00341,BRBY.L,False,False,False
E00342,KER.PA,False,False,False
E00343,1913.HK,False,False,False
E00346,SFER.MI,False,False,False
E00347,MC.PA,False,False,False
E00348,MC.PA,False,False,False
E00349,KER.PA,False,False,False
E00350,RMS.PA,False,False,False
E00351,CPRI,False,False,False
E00352,TPR,False,False,False
E00353,PVH,False,False,False
E00354,RL,False,False,False
E00355,BRBY.L,False,False,False
E00356,KER.PA,False,False,False
E00357,1913.HK,True,False,True
E00358,BC.MI,False,False,False
E00360,SFER.MI,False,False,False
E00361,MC.PA,False,False,False
E00362,MC.PA,False,False,False
E00363,KER.PA,False,False,False
E00364,RMS.PA,False,False,False
E00365,CPRI,False,False,False
E00366,TPR,False,False,False
E00367,PVH,False,False,False
E00368,RL,False,False,False
E00369,BRBY.L,False,False,False
E00370,KER.PA,False,False,False
E00371,1913.HK,False,False,False
E00372,BC.MI,False,False,False
E00374,SFER.MI,False,False,False
E00375,MC.PA,False,False,False
E00376,MC.PA,False,False,False
E00377,KER.PA,False,False,False
E00378,RMS.PA,False,False,False
E00379,CPRI,False,False,False
E00380,TPR,False,False,False
E00381,PVH,False,False,False
E00382,RL,False,False,False
E00383,BRBY.L,False,False,False
E00384,KER.PA,False,False,False
E00385,1913.HK,True,False,True
E00386,BC.MI,False,False,False
E00388,SFER.MI,False,False,False
E00389,MC.PA,False,False,False
E00390,MC.PA,False,False,False
E00391,KER.PA,False,False,False
E00392,RMS.PA,False,False,False
E00393,CPRI,False,False,False
E00394,TPR,False,False,False
E00395,PVH,False,False,False
E00396,RL,False,False,False
E00397,BRBY.L,False,False,False
E00398,KER.PA,False,False,False
E00399,1913.HK,False,False,False
E00400,BC.MI,False,False,False
E00401,MONC.MI,False,False,False
E00402,SFER.MI,False,False,False
E00403,MC.PA,False,False,False
E00404,MC.PA,False,False,False
E00405,KER.PA,False,False,False
E00406,RMS.PA,False,False,False
E00407,CPRI,False,False,False
E00408,TPR,False,False,False
E00409,PVH,False,False,False
E00410,RL,False,False,False
E00411,BRBY.L,False,False,False
E00412,KER.PA,False,False,False
E00413,1913.HK,True,False,True
E00414,BC.MI,False,False,False
E00415,MONC.MI,False,False,False
E00416,SFER.MI,False,False,False
E00417,MC.PA,False,False,False
E00418,MC.PA,False,False,False
E00419,KER.PA,False,False,False
E00420,RMS.PA,False,False,False
E00421,CPRI,False,False,False
E00422,TPR,False,False,False
E00423,PVH,False,False,False
E00424,RL,False,False,False
E00425,BRBY.L,False,False,False
E00426,KER.PA,False,False,False
E00427,1913.HK,False,False,False
E00428,BC.MI,False,False,False
E00429,MONC.MI,False,False,False
E00430,SFER.MI,False,False,False
E00431,MC.PA,False,False,False
E00432,MC.PA,False,False,False
E00433,KER.PA,False,False,False
E00434,RMS.PA,False,False,False
E00435,CPRI,False,False,False
E00436,TPR,False,False,False
E00437,PVH,False,False,False
E00438,RL,False,False,False
E00439,BRBY.L,False,False,False
E00440,KER.PA,False,False,False
E00441,1913.HK,True,False,True
E00442,BC.MI,False,False,False
E00443,MONC.MI,False,False,False
E00444,SFER.MI,False,False,False
E00445,MC.PA,False,False,False
E00446,MC.PA,False,False,False
E00447,KER.PA,False,False,False
E00448,RMS.PA,False,False,False
E00449,CPRI,False,False,False
E00450,TPR,False,False,False
E00451,PVH,False,False,False
E00452,RL,False,False,False
E00453,BRBY.L,False,False,False
E00454,KER.PA,False,False,False
E00455,1913.HK,False,False,False
E00456,BC.MI,False,False,False
E00457,MONC.MI,False,False,False
E00458,SFER.MI,False,False,False
E00459,MC.PA,False,False,False
E00460,MC.PA,False,False,False
E00461,KER.PA,False,False,False
E00462,RMS.PA,False,False,False
E00463,CPRI,False,False,False
E00464,TPR,False,False,False
E00465,PVH,False,False,False
E00466,RL,False,False,False
E00467,BRBY.L,False,False,False
E00468,KER.PA,False,False,False
E00469,1913.HK,False,False,False
E00470,BC.MI,False,False,False
E00471,MONC.MI,False,False,False
E00472,SFER.MI,False,False,False
E00473,MC.PA,False,False,False
E00474,MC.PA,False,False,False
E00475,KER.PA,False,False,False
E00476,RMS.PA,False,False,False
E00477,CPRI,False,False,False
E00478,TPR,False,False,False
E00479,PVH,False,False,False
E00480,RL,False,False,False
E00481,BRBY.L,False,False,False
E00482,KER.PA,False,False,False
E00483,1913.HK,False,False,False
