date,ticker,adj_close
2015-01-05,3402.T,770.0895385742188
2015-01-06,3402.T,751.0579223632812
2015-01-07,3402.T,769.6077270507812
2015-01-08,3402.T,778.5211181640625
2015-01-09,3402.T,768.8848876953125
2015-01-13,3402.T,760.0518188476562
2015-01-14,3402.T,763.5850830078125
2015-01-15,3402.T,775.3089599609375
2015-01-16,3402.T,768.7243041992188
2015-01-19,3402.T,771.615234375
2015-01-20,3402.T,781.25146484375
2015-01-21,3402.T,789.9238891601562
2015-01-22,3402.T,787.99658203125
2015-01-23,3402.T,791.9314575195312
2015-01-26,3402.T,793.3768920898438
2015-01-27,3402.T,802.2098999023438
2015-01-28,3402.T,812.2476806640625
2015-01-29,3402.T,799.6401977539062
2015-01-30,3402.T,810.6417236328125
2015-02-02,3402.T,816.2626953125
2015-02-03,3402.T,800.202392578125
2015-02-04,3402.T,812.2476806640625
2015-02-05,3402.T,775.1483154296875
2015-02-06,3402.T,793.1359252929688
2015-02-09,3402.T,793.61767578125
2015-02-10,3402.T,792.3330078125
2015-02-12,3402.T,796.2676391601562
2015-02-13,3402.T,794.7418823242188
2015-02-16,3402.T,785.266357421875
2015-02-17,3402.T,782.9376831054688
2015-02-18,3402.T,800.202392578125
2015-02-19,3402.T,801.1660766601562
2015-02-20,3402.T,798.2752075195312
2015-02-23,3402.T,800.6038208007812
2015-02-24,3402.T,801.4070434570312
2015-02-25,3402.T,794.7418823242188
2015-02-26,3402.T,794.9827270507812
2015-02-27,3402.T,797.4720458984375
2015-03-02,3402.T,798.7569580078125
2015-03-03,3402.T,799.8009033203125
2015-03-04,3402.T,787.7556762695312
2015-03-05,3402.T,825.8988037109375
2015-03-06,3402.T,830.3152465820312
2015-03-09,3402.T,822.6868286132812
2015-03-10,3402.T,813.050537109375
2015-03-11,3402.T,807.8311157226562
2015-03-12,3402.T,821.0806884765625
2015-03-13,3402.T,816.6641845703125
2015-03-16,3402.T,814.255126953125
2015-03-17,3402.T,815.0582275390625
2015-03-18,3402.T,817.8685913085938
2015-03-19,3402.T,822.2853393554688
2015-03-20,3402.T,817.0657958984375
2015-03-23,3402.T,821.8836669921875
2015-03-24,3402.T,820.2777099609375
2015-03-25,3402.T,844.3681030273438
2015-03-26,3402.T,826.3003540039062
2015-03-27,3402.T,836.8006591796875
2015-03-30,3402.T,817.8192138671875
2015-03-31,3402.T,813.376708984375
2015-04-01,3402.T,801.2609252929688
2015-04-02,3402.T,807.1572875976562
2015-04-03,3402.T,806.9150390625
2015-04-06,3402.T,801.7454833984375
2015-04-07,3402.T,814.1845703125
2015-04-08,3402.T,820.2423706054688
2015-04-09,3402.T,817.0115966796875
2015-04-10,3402.T,810.1459350585938
2015-04-13,3402.T,810.1459350585938
2015-04-14,3402.T,813.7806396484375
2015-04-15,3402.T,810.1459350585938
2015-04-16,3402.T,812.165283203125
2015-04-17,3402.T,813.7806396484375
2015-04-20,3402.T,805.2996215820312
2015-04-21,3402.T,823.8772583007812
2015-04-22,3402.T,826.7042236328125
2015-04-23,3402.T,834.377685546875
2015-04-24,3402.T,847.705078125
2015-04-27,3402.T,860.6286010742188
2015-04-28,3402.T,854.9744262695312
