year,celebrity,parent_ticker,context_snippet,source_url,is_best_dressed_article
2025,(unknown),KER.PA,ibeca Ball Ushered in Spring and a New Wave of Artists By Olivia Empson Fashion Nobody Loved an Art Reference More Than Yves Saint Laurent By Hannah Jackson Arts The Proof Is in the Play: Inside the O,https://www.vogue.com/article/met-gala-2025-red-carpet,False
2025,(unknown),KER.PA,Ball Ushered in Spring and a New Wave of Artists By Olivia Empson Fashion Nobody Loved an Art Reference More Than Yves Saint Laurent By Hannah Jackson Arts The Proof Is in the Play: Inside the Opening,https://www.vogue.com/article/met-gala-2025-red-carpet,False
