date,material,nowcast_z,direction,tickers
2017-10-01,cotton,-0.1315,flat,CT=F
2017-10-01,denim,2.4255,long,CT=F
2017-10-01,leather,0.4037,flat,LE=F
2017-10-01,nylon,,flat,3402.T;CL=F
2017-10-01,polyester,1.1328,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2017-10-01,technical,,flat,3402.T
2017-10-01,viscose,-0.2887,flat,LNZ.VI
2017-11-01,cotton,-0.2057,flat,CT=F
2017-11-01,denim,2.4368,long,CT=F
2017-11-01,leather,1.3494,long,LE=F
2017-11-01,nylon,,flat,3402.T;CL=F
2017-11-01,polyester,0.9574,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2017-11-01,technical,,flat,3402.T
2017-11-01,viscose,-0.2887,flat,LNZ.VI
2017-12-01,cotton,-0.2887,flat,CT=F
2017-12-01,denim,2.0846,long,CT=F
2017-12-01,leather,2.1951,long,LE=F
2017-12-01,nylon,,flat,3402.T;CL=F
2017-12-01,polyester,0.8092,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2017-12-01,technical,,flat,3402.T
2017-12-01,viscose,-0.2887,flat,LNZ.VI
2018-01-01,cotton,-0.3845,flat,CT=F
2018-01-01,denim,1.4142,long,CT=F
2018-01-01,leather,1.5407,long,LE=F
2018-01-01,nylon,,flat,3402.T;CL=F
2018-01-01,polyester,0.677,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-01-01,technical,,flat,3402.T
2018-01-01,viscose,-0.2887,flat,LNZ.VI
2018-02-01,cotton,-1.5,short,CT=F
2018-02-01,denim,0.2672,flat,CT=F
2018-02-01,leather,0.3738,flat,LE=F
2018-02-01,nylon,,flat,3402.T;CL=F
2018-02-01,polyester,0.677,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-02-01,technical,,flat,3402.T
2018-02-01,viscose,-0.2887,flat,LNZ.VI
2018-03-01,cotton,0.5,flat,CT=F
2018-03-01,denim,0.1315,flat,CT=F
2018-03-01,leather,-0.1068,flat,LE=F
2018-03-01,nylon,,flat,3402.T;CL=F
