hop,entity,material,lag_months,r,adoption_coef,n_obs,fit_end
1,asos,cotton,6,0.6722,13.1613,16,2020-12-31
1,asos,denim,10,0.4091,7.0561,16,2020-12-31
1,asos,elastane,2,0.5281,0.8448,16,2020-12-31
1,asos,leather,1,0.2817,0.5987,16,2020-12-31
1,asos,linen,9,0.4537,1.0348,16,2020-12-31
1,asos,nylon,4,0.4101,3.0246,16,2020-12-31
1,asos,polyester,9,0.6621,8.1073,16,2020-12-31
1,asos,technical,11,0.302,0.8008,16,2020-12-31
1,asos,viscose,3,0.267,0.2555,16,2020-12-31
1,asos,wool,4,0.3925,0.0566,16,2020-12-31
1,hm,cashmere,11,0.2734,0.3172,52,2020-12-31
1,hm,cotton,7,-0.0164,-0.2551,54,2020-12-31
1,hm,denim,9,0.2456,2.8542,54,2020-12-31
1,hm,elastane,9,0.0903,0.0633,54,2020-12-31
1,hm,leather,8,0.071,0.0513,54,2020-12-31
1,hm,linen,6,0.3055,13.8627,54,2020-12-31
1,hm,nylon,4,0.121,0.8278,54,2020-12-31
1,hm,polyester,12,0.1629,0.4645,51,2020-12-31
1,hm,silk,6,0.0187,0.0334,54,2020-12-31
1,hm,technical,9,0.107,0.6178,54,2020-12-31
1,hm,viscose,4,0.1515,0.1958,54,2020-12-31
1,hm,wool,5,0.2617,0.0843,54,2020-12-31
2,TRENDS,cashmere,5,0.4789,86.7832,54,2020-12-31
2,TRENDS,cotton,5,0.5707,64.9229,54,2020-12-31
2,TRENDS,denim,7,0.0503,6.5395,54,2020-12-31
2,TRENDS,leather,5,0.3742,20.7428,54,2020-12-31
2,TRENDS,linen,5,0.6943,762.007,54,2020-12-31
2,TRENDS,nylon,3,0.7934,4.7922,25,2020-12-31
2,TRENDS,polyester,12,0.4567,14.3865,54,2020-12-31
2,TRENDS,silk,2,0.4539,183.7983,54,2020-12-31
2,TRENDS,viscose,5,0.5207,12.5142,54,2020-12-31
2,TRENDS,wool,5,0.7104,15.8713,54,2020-12-31
3,IVL.BK,polyester,2,0.0962,0.0067,40,2020-12-31
3,3402.T,polyester,5,-0.0168,-0.0007,37,2020-12-31
3,RELIANCE.NS,polyester,4,0.0741,0.0047,38,2020-12-31
3,CL=F,polyester,5,0.1254,0.0197,37,2020-12-31
3,3402.T,nylon,3,0.0909,0.004,39,2020-12-31
3,CL=F,nylon,2,-0.0157,-0.0024,40,2020-12-31
3,3402.T,technical,6,0.3403,0.0191,36,2020-12-31
3,LNZ.VI,viscose,0,0.0454,0.0036,42,2020-12-31
3,CT=F,cotton,5,0.2486,0.0175,37,2020-12-31
3,CT=F,denim,1,0.208,0.017,41,2020-12-31
3,LE=F,leather,6,0.2622,0.0156,36,2020-12-31
