hop,entity,material,lag_months,r,adoption_coef,n_obs,fit_end
1,asos,cotton,1,0.2502,3.0103,20,2021-12-31
1,asos,denim,11,0.075,0.9316,20,2021-12-31
1,asos,elastane,3,0.2735,0.1577,20,2021-12-31
1,asos,leather,11,0.1732,0.3079,20,2021-12-31
1,asos,linen,9,0.4055,1.0843,20,2021-12-31
1,asos,nylon,5,0.3293,2.0093,20,2021-12-31
1,asos,polyester,1,0.3339,0.7577,20,2021-12-31
1,asos,technical,4,0.3738,0.6926,20,2021-12-31
1,asos,viscose,4,0.1915,0.1927,20,2021-12-31
1,asos,wool,5,0.2914,0.0261,20,2021-12-31
1,hm,cashmere,11,0.3644,0.6948,34,2021-12-31
1,hm,cotton,5,0.2754,4.8768,34,2021-12-31
1,hm,denim,11,0.318,6.2193,34,2021-12-31
1,hm,elastane,6,0.1183,0.0703,34,2021-12-31
1,hm,leather,7,-0.0058,-0.004,34,2021-12-31
1,hm,linen,8,-0.0677,-6.6928,34,2021-12-31
1,hm,nylon,11,0.1842,1.2072,34,2021-12-31
1,hm,polyester,12,0.2827,0.6737,34,2021-12-31
1,hm,silk,7,-0.0373,-0.0573,34,2021-12-31
1,hm,technical,6,0.1318,0.6258,34,2021-12-31
1,hm,viscose,3,0.0287,0.0388,34,2021-12-31
1,hm,wool,3,0.31,0.091,34,2021-12-31
2,TRENDS,cashmere,5,0.4753,116.8425,66,2021-12-31
2,TRENDS,cotton,4,0.5514,59.2763,66,2021-12-31
2,TRENDS,denim,7,0.1427,23.701,66,2021-12-31
2,TRENDS,leather,5,0.5895,22.0169,66,2021-12-31
2,TRENDS,linen,5,0.5438,568.2402,66,2021-12-31
2,TRENDS,nylon,8,0.8293,4.9142,31,2021-12-31
2,TRENDS,polyester,3,0.5275,12.7844,66,2021-12-31
2,TRENDS,silk,1,0.4408,108.4543,66,2021-12-31
2,TRENDS,viscose,5,0.4958,11.2054,66,2021-12-31
2,TRENDS,wool,5,0.6484,12.4014,66,2021-12-31
3,IVL.BK,polyester,6,0.5663,0.0765,18,2021-12-31
3,3402.T,polyester,4,0.2147,0.0157,20,2021-12-31
3,RELIANCE.NS,polyester,0,0.282,0.0306,24,2021-12-31
3,CL=F,polyester,2,0.2356,0.087,22,2021-12-31
3,3402.T,nylon,2,0.1762,0.0111,22,2021-12-31
3,CL=F,nylon,5,0.4316,0.1494,19,2021-12-31
3,3402.T,technical,4,0.2288,0.0454,20,2021-12-31
3,LNZ.VI,viscose,0,0.2055,0.0284,24,2021-12-31
3,CT=F,cotton,6,0.4902,0.091,18,2021-12-31
3,CT=F,denim,5,0.259,0.0233,19,2021-12-31
3,LE=F,leather,6,0.268,0.0105,18,2021-12-31
