retailer,month,material,share,n_items,known_date,thin_sample
asos,2017-12,cashmere,0.0,6,2017-12-31,True
asos,2017-12,cotton,0.855,6,2017-12-31,True
asos,2017-12,denim,0.0,6,2017-12-31,True
asos,2017-12,elastane,0.0,6,2017-12-31,True
asos,2017-12,leather,0.0,6,2017-12-31,True
asos,2017-12,linen,0.0,6,2017-12-31,True
asos,2017-12,nylon,0.0,6,2017-12-31,True
asos,2017-12,other,0.0,6,2017-12-31,True
asos,2017-12,polyester,0.145,6,2017-12-31,True
asos,2017-12,silk,0.0,6,2017-12-31,True
asos,2017-12,technical,0.0,6,2017-12-31,True
asos,2017-12,viscose,0.0,6,2017-12-31,True
asos,2017-12,wool,0.0,6,2017-12-31,True
asos,2018-01,cashmere,0.0,5,2018-01-31,True
asos,2018-01,cotton,0.333333,5,2018-01-31,True
asos,2018-01,denim,0.0,5,2018-01-31,True
asos,2018-01,elastane,0.033524,5,2018-01-31,True
asos,2018-01,leather,0.0,5,2018-01-31,True
asos,2018-01,linen,0.0,5,2018-01-31,True
asos,2018-01,nylon,0.0,5,2018-01-31,True
asos,2018-01,other,0.046154,5,2018-01-31,True
asos,2018-01,polyester,0.386989,5,2018-01-31,True
asos,2018-01,silk,0.0,5,2018-01-31,True
asos,2018-01,technical,0.0,5,2018-01-31,True
asos,2018-01,viscose,0.2,5,2018-01-31,True
asos,2018-01,wool,0.0,5,2018-01-31,True
asos,2018-03,cashmere,0.0,1,2018-03-31,True
asos,2018-03,cotton,0.0,1,2018-03-31,True
asos,2018-03,denim,0.0,1,2018-03-31,True
asos,2018-03,elastane,0.1,1,2018-03-31,True
asos,2018-03,leather,0.0,1,2018-03-31,True
asos,2018-03,linen,0.0,1,2018-03-31,True
asos,2018-03,nylon,0.4,1,2018-03-31,True
asos,2018-03,other,0.0,1,2018-03-31,True
asos,2018-03,polyester,0.5,1,2018-03-31,True
asos,2018-03,silk,0.0,1,2018-03-31,True
asos,2018-03,technical,0.0,1,2018-03-31,True
asos,2018-03,viscose,0.0,1,2018-03-31,True
asos,2018-03,wool,0.0,1,2018-03-31,True
asos,2018-04,cashmere,0.0,2,2018-04-30,True
asos,2018-04,cotton,0.0975,2,2018-04-30,True
asos,2018-04,denim,0.0,2,2018-04-30,True
asos,2018-04,elastane,0.0,2,2018-04-30,True
asos,2018-04,leather,0.0,2,2018-04-30,True
asos,2018-04,linen,0.0,2,2018-04-30,True
asos,2018-04,nylon,0.335,2,2018-04-30,True
asos,2018-04,other,0.0,2,2018-04-30,True
asos,2018-04,polyester,0.5,2,2018-04-30,True
asos,2018-04,silk,0.0,2,2018-04-30,True
asos,2018-04,technical,0.0,2,2018-04-30,True
asos,2018-04,viscose,0.0675,2,2018-04-30,True
asos,2018-04,wool,0.0,2,2018-04-30,True
asos,2018-08,cashmere,0.0,2,2018-08-31,True
asos,2018-08,cotton,0.0,2,2018-08-31,True
asos,2018-08,denim,0.5,2,2018-08-31,True
asos,2018-08,elastane,0.0,2,2018-08-31,True
asos,2018-08,leather,0.0,2,2018-08-31,True
asos,2018-08,linen,0.0,2,2018-08-31,True
asos,2018-08,nylon,0.0,2,2018-08-31,True
asos,2018-08,other,0.0,2,2018-08-31,True
asos,2018-08,polyester,0.5,2,2018-08-31,True
asos,2018-08,silk,0.0,2,2018-08-31,True
asos,2018-08,technical,0.0,2,2018-08-31,True
asos,2018-08,viscose,0.0,2,2018-08-31,True
asos,2018-08,wool,0.0,2,2018-08-31,True
asos,2019-04,cashmere,0.0,11,2019-04-30,True
asos,2019-04,cotton,0.0,11,2019-04-30,True
asos,2019-04,denim,0.0,11,2019-04-30,True
